side,solve_index,outer_iteration,level,name,seconds,trace_elapsed_seconds
pyqcu,2,5,1,level_reconstruct,0.003387585,0.858783324
pyqcu,2,5,1,coarse_vcycle,0.160727164,0.859018237
pyqcu,2,5,0,fine_prolongation,0.00273645,0.861764087
pyqcu,2,5,0,fine_correction_residual,0.002641844,0.864627543
pyqcu,2,5,0,fine_post_smoother,0.003080168,0.867900621
pyqcu,2,5,0,fine_matpc,0.002481136,0.870588468
pyqcu,2,5,0,arnoldi,0.001000554,0.871772133
pyqcu,2,5,0,outer_iteration,0.180762256,0.871884939
pyqcu,2,6,0,fine_pre_smoother,0.003246077,0.875144016
pyqcu,2,6,0,fine_restriction,0.003311581,0.878675909
pyqcu,2,6,1,level_prepare,0.003261478,0.882129197
pyqcu,2,6,1,coarsest_bicgstab,0.159276184,1.041636394
pyqcu,2,6,1,level_reconstruct,0.002883357,1.044635958
pyqcu,2,6,1,coarse_vcycle,0.165965849,1.044830168
pyqcu,2,6,0,fine_prolongation,0.002717448,1.047567918
pyqcu,2,6,0,fine_correction_residual,0.003080468,1.050866398
pyqcu,2,6,0,fine_post_smoother,0.003077668,1.054114275
pyqcu,2,6,0,fine_matpc,0.002475635,1.056762119
pyqcu,2,6,0,arnoldi,0.001134161,1.05805899
pyqcu,2,6,0,outer_iteration,0.18634726,1.058243
pyqcu,2,7,0,fine_pre_smoother,0.003167073,1.061423673
pyqcu,2,7,0,fine_restriction,0.003328982,1.064956166
pyqcu,2,7,1,level_prepare,0.003237277,1.068425355
pyqcu,2,7,1,coarsest_bicgstab,0.165340215,1.233962481
pyqcu,2,7,1,level_reconstruct,0.002914059,1.237004047
pyqcu,2,7,1,coarse_vcycle,0.174755628,1.239942007
pyqcu,2,7,0,fine_prolongation,0.002761151,1.242712758
pyqcu,2,7,0,fine_correction_residual,0.002638044,1.245572314
pyqcu,2,7,0,fine_post_smoother,0.003108469,1.248890795
pyqcu,2,7,0,fine_matpc,0.002472935,1.251530039
pyqcu,2,7,0,arnoldi,0.001306571,1.253043421
pyqcu,2,7,0,outer_iteration,0.194923728,1.253182729
pyqcu,2,8,0,fine_pre_smoother,0.003256678,1.256455907
pyqcu,2,8,0,fine_restriction,0.00331068,1.259982199
pyqcu,2,8,1,level_prepare,0.003272778,1.263445088
pyqcu,2,8,1,coarsest_bicgstab,0.160831269,1.42449577
pyqcu,2,8,1,level_reconstruct,0.002955361,1.427709645
pyqcu,2,8,1,coarse_vcycle,0.167741846,1.427899855
pyqcu,2,8,0,fine_prolongation,0.002729249,1.430638504
pyqcu,2,8,0,fine_correction_residual,0.002658245,1.433526762
pyqcu,2,8,0,fine_post_smoother,0.003093669,1.436826842
pyqcu,2,8,0,fine_matpc,0.002475735,1.439605593
pyqcu,2,8,0,arnoldi,0.001535184,1.441341888
pyqcu,2,8,0,outer_iteration,0.18835087,1.441546799
pyqcu,2,8,0,fgmres_solution_update,0.000640034,1.442199035
pyqcu,2,8,0,true_residual_refresh,0.00311367,1.44560192
pyqcu,2,9,0,fine_pre_smoother,0.003316081,1.449340524
pyqcu,2,9,0,fine_restriction,0.00330498,1.452767711
pyqcu,2,9,1,level_prepare,0.003239476,1.456172197
pyqcu,2,9,1,coarsest_bicgstab,0.190849106,1.64733202
pyqcu,2,9,1,level_reconstruct,0.002944161,1.65046239
pyqcu,2,9,1,coarse_vcycle,0.197700779,1.650631599
pyqcu,2,9,0,fine_prolongation,0.002733249,1.653375649
pyqcu,2,9,0,fine_correction_residual,0.002646044,1.656257606
pyqcu,2,9,0,fine_post_smoother,0.003060667,1.659518684
pyqcu,2,9,0,fine_matpc,0.002476935,1.662177129
pyqcu,2,9,0,arnoldi,0.000985354,1.663374794
pyqcu,2,9,0,outer_iteration,0.217633267,1.663498401
pyqcu,2,10,0,fine_pre_smoother,0.003222175,1.66677758
pyqcu,2,10,0,fine_restriction,0.00330538,1.670305872
pyqcu,2,10,1,level_prepare,0.003244377,1.673793262
pyqcu,2,10,1,coarsest_bicgstab,0.159124376,1.833079547
pyqcu,2,10,1,level_reconstruct,0.002912558,1.836111713
pyqcu,2,10,1,coarse_vcycle,0.16579384,1.836326924
pyqcu,2,10,0,fine_prolongation,0.002717648,1.839053373
pyqcu,2,10,0,fine_correction_residual,0.002636944,1.841903128
pyqcu,2,10,0,fine_post_smoother,0.003112469,1.84522481
pyqcu,2,10,0,fine_matpc,0.002469735,1.847821151
pyqcu,2,10,0,arnoldi,0.00129057,1.849245029
pyqcu,2,10,0,outer_iteration,0.185852133,1.849405538
pyqcu,2,11,0,fine_pre_smoother,0.003253577,1.852673016
pyqcu,2,11,0,fine_restriction,0.003323581,1.85624471
pyqcu,2,11,1,level_prepare,0.003258377,1.859749102
pyqcu,2,11,1,coarsest_bicgstab,0.159030171,2.019054188
pyqcu,2,11,1,level_reconstruct,0.002899058,2.022096953
pyqcu,2,11,1,coarse_vcycle,0.165839943,2.022327066
pyqcu,2,11,0,fine_prolongation,0.002723349,2.025059815
pyqcu,2,11,0,fine_correction_residual,0.002652344,2.027988975
pyqcu,2,11,0,fine_post_smoother,0.00310797,2.031335857
pyqcu,2,11,0,fine_matpc,0.00293926,2.034494229
pyqcu,2,11,0,arnoldi,0.001327572,2.036040814
pyqcu,2,11,0,outer_iteration,0.186769083,2.036186222
pyqcu,2,11,0,fgmres_solution_update,0.000484726,2.036682649
pyqcu,2,11,0,true_residual_refresh,0.003048666,2.039953527
pyqcu,3,1,0,fine_pre_smoother,0.003306881,0.006706466
pyqcu,3,1,0,fine_restriction,0.003304281,0.010243959
pyqcu,3,1,1,level_prepare,0.003219875,0.013633544
pyqcu,3,1,1,coarsest_bicgstab,0.147738056,0.161549109
pyqcu,3,1,1,level_reconstruct,0.002901459,0.164561973
pyqcu,3,1,1,coarse_vcycle,0.154311713,0.164721382
pyqcu,3,1,0,fine_prolongation,0.00274805,0.167477732
